original english sentences,deepl sentences,google sentences
"no one would have believed in the last years of the nineteenth century that this world was being watched keenly and closely by intelligences greater than man's and yet as mortal as his own; that as men busied themselves about their various concerns they were scrutinised and studied, perhaps almost as narrowly as a man with a microscope might scrutinise the transient creatures that swarm and multiply in a drop of water","personne n'aurait cru, dans les dernières années du dix-neuvième siècle, que ce monde était surveillé de près par des intelligences plus grandes que l'homme et pourtant aussi mortelles que la sienne ; que les hommes, occupés à leurs diverses préoccupations, étaient scrutés et étudiés, peut-être presque aussi étroitement qu'un homme muni d'un microscope pourrait scruter les créatures éphémères qui grouillent et se multiplient dans une goutte d'eau","personne n'aurait cru dans les dernières années du XIXe siècle que ce monde était surveillé attentivement et étroitement par des intelligences plus grandes que celle de l'homme et pourtant aussi mortelles que la sienne ; que pendant que les hommes s'occupaient de leurs diverses préoccupations, ils étaient scrutés et étudiés, peut-être presque aussi étroitement qu'un homme avec un microscope pourrait scruter les créatures éphémères qui pullulent et se multiplient dans une goutte d'eau"
" with infinite complacency men went to and fro over this globe about their little affairs, serene in their assurance of their empire over matter"," avec une infinie complaisance, les hommes allaient et venaient sur ce globe, vaquant à leurs petites affaires, sereins dans l'assurance de leur empire sur la matière","avec une complaisance infinie, les hommes parcouraient ce globe pour vaquer à leurs petites affaires, sereins dans l'assurance de leur empire sur la matière."
 it is possible that the infusoria under the microscope do the same, il est possible que les infusoires sous le microscope fassent la même chose,il est possible que les infusoires au microscope fassent de même
" no one gave a thought to the older worlds of space as sources of human danger, or thought of them only to dismiss the idea of life upon them as impossible or improbable"," personne n'a pensé aux anciens mondes de l'espace en tant que sources de danger pour l'homme, ou n'y a pensé que pour rejeter l'idée d'une vie sur ces mondes comme impossible ou improbable","personne n'a pensé aux anciens mondes de l'espace en tant que sources de danger pour l'homme, ni n'y a pensé uniquement pour rejeter l'idée de la vie sur eux comme étant impossible ou improbable."
 it is curious to recall some of the mental habits of those departed days, il est curieux de rappeler quelques habitudes mentales de cette époque révolue,il est curieux de rappeler quelques-unes des habitudes mentales de ces jours passés
" at most terrestrial men fancied there might be other men upon mars, perhaps inferior to themselves and ready to welcome a missionary enterprise"," tout au plus les hommes terrestres ont-ils imaginé qu'il pouvait y avoir d'autres hommes sur mars, peut-être inférieurs à eux et prêts à accueillir une entreprise missionnaire","tout au plus, les hommes terrestres imaginaient qu'il pourrait y avoir d'autres hommes sur Mars, peut-être inférieurs à eux-mêmes et prêts à accueillir une entreprise missionnaire."
" yet across the gulf of space, minds that are to our minds as ours are to those of the beasts that perish, intellects vast and cool and unsympathetic, regarded this earth with envious eyes, and slowly and surely drew their plans against us"," Pourtant, de l'autre côté du gouffre de l'espace, des esprits qui sont à nos esprits ce que les nôtres sont à ceux des bêtes qui périssent, des intellects vastes, froids et antipathiques, ont regardé cette terre avec des yeux envieux, et lentement et sûrement, ils ont dressé leurs plans contre nous","Pourtant, à travers le golfe de l'espace, des esprits qui sont à nos yeux ce que les nôtres sont à ceux des bêtes qui périssent, des intellects vastes, froids et antipathiques, regardaient cette terre avec des yeux envieux et dessinaient lentement et sûrement leurs plans contre nous."
 and early in the twentieth century came the great disillusionment," et au début du vingtième siècle, la grande désillusion est arrivée",et au début du XXe siècle survint la grande désillusion
"  the planet mars, i scarcely need remind the reader, revolves about the sun at a mean distance of 140,000,000 miles, and the light and heat it receives from the sun is barely half of that received by this world","  la planète mars, je n'ai pas besoin de le rappeler, tourne autour du soleil à une distance moyenne de 140 000 000 miles, et la lumière et la chaleur qu'elle reçoit du soleil sont à peine la moitié de celles reçues par ce monde","la planète Mars, je n'ai pas besoin de le rappeler au lecteur, tourne autour du soleil à une distance moyenne de 140 000 000 de milles, et la lumière et la chaleur qu'elle reçoit du soleil sont à peine la moitié de celles reçues par ce monde."
" it must be, if the nebular hypothesis has any truth, older than our world; and long before this earth ceased to be molten, life upon its surface must have begun its course"," Si l'hypothèse nébulaire est fondée, elle doit être plus ancienne que notre monde et, bien avant que cette terre ait cessé d'être en fusion, la vie à sa surface a dû commencer à se développer.","si l'hypothèse nébulaire a quelque vérité, elle doit être plus ancienne que notre monde ; et bien avant que cette terre ne cesse de fondre, la vie à sa surface devait avoir commencé son cours"
